vote_count,budget,popularity,crew_count,cast_count,runtime,keywords_count,vote_average,genres_count,release_year,production_companies_count,spoken_languages_count,revenue
11800,237000000,150.437577,153,83,162.0,21,7.2,4,2009.0,4,2,2787965087
4500,300000000,139.082615,32,34,169.0,16,6.9,3,2007.0,3,1,961000000
4466,245000000,107.376788,155,83,148.0,7,6.3,3,2015.0,3,5,880674609
9106,250000000,112.31295,217,158,165.0,21,7.6,4,2012.0,4,1,1084939099
2124,260000000,43.926995,132,27,132.0,16,6.1,3,2012.0,1,1,284139100
3576,258000000,115.699814,56,143,139.0,16,5.9,3,2007.0,3,2,890871626
3330,260000000,48.681969,79,13,100.0,15,7.4,2,2010.0,2,1,591794936
6767,280000000,134.279229,74,72,141.0,9,7.3,3,2015.0,3,1,1405403694
5293,250000000,98.885637,27,49,153.0,8,7.4,3,2009.0,2,1,933959197
7004,250000000,155.790452,111,152,151.0,9,5.7,3,2016.0,6,1,873260194
1400,270000000,57.925623,24,18,154.0,10,5.4,4,2006.0,4,3,391081192
2965,200000000,107.928811,17,32,106.0,4,6.1,4,2008.0,1,5,586090727
5246,200000000,145.847379,23,33,151.0,14,7.0,3,2006.0,3,4,1065659812
2311,255000000,49.046956,35,60,149.0,13,5.9,3,2013.0,6,1,89289910
6359,225000000,99.398009,48,33,143.0,9,6.5,4,2013.0,5,1,662845518
1630,225000000,53.978602,83,21,150.0,12,6.3,3,2008.0,7,1,419651413
11776,220000000,144.448633,147,115,143.0,10,7.4,3,2012.0,2,1,1519557910
4948,380000000,135.413856,39,35,136.0,16,6.4,3,2011.0,3,2,1045713802
4160,225000000,52.035179,21,18,106.0,6,6.2,3,2012.0,5,1,624026776
4760,250000000,120.965743,127,42,144.0,11,7.1,3,2014.0,5,1,956019788
6586,215000000,89.866276,106,57,136.0,12,6.5,3,2012.0,3,1,752215857
1398,200000000,37.668301,18,34,140.0,8,6.2,2,2010.0,4,2,310669540
4524,250000000,94.370564,108,32,161.0,7,7.6,2,2013.0,4,1,958400000
1303,180000000,42.990906,32,29,113.0,9,5.8,2,2007.0,4,4,372234864
2337,207000000,61.22601,38,33,187.0,10,6.6,3,2005.0,4,1,550000000
7562,200000000,100.025899,65,136,194.0,19,7.5,3,1997.0,3,6,1845034188
7241,250000000,198.372395,119,100,147.0,11,7.1,3,2016.0,5,4,1153304495
2114,209000000,64.928382,122,46,131.0,26,5.5,4,2012.0,4,2,303025485
8662,150000000,418.708552,435,28,124.0,16,6.5,4,2015.0,5,1,1513528810
7604,200000000,93.004993,30,24,143.0,12,6.9,3,2012.0,1,1,1108561013
4321,200000000,35.149586,128,76,127.0,11,6.7,3,2004.0,3,3,783766341
8806,200000000,77.68208,29,107,130.0,16,6.8,3,2013.0,1,1,1215439994
4645,200000000,78.530105,24,35,108.0,7,6.4,3,2010.0,5,1,1025491110
3525,210000000,3.857526,39,32,104.0,7,6.3,4,2006.0,11,1,459359555
3528,200000000,89.186492,13,24,104.0,8,7.0,2,2013.0,2,1,743559607
3138,150000000,21.939663,55,37,150.0,10,6.0,3,2009.0,7,2,836297228
3095,210000000,116.840296,86,41,165.0,7,5.8,3,2014.0,8,1,1091405097
3530,200000000,46.985445,31,159,130.0,9,5.7,3,2013.0,2,1,491868548
4179,200000000,89.270217,102,65,142.0,8,6.5,3,2014.0,4,1,705717432
2841,170000000,73.79505,27,23,125.0,10,6.3,3,2010.0,6,1,400062763
2033,200000000,49.98659,40,47,106.0,6,5.8,4,2011.0,2,4,559852396
2487,200000000,51.872839,47,23,114.0,10,5.1,4,2011.0,3,1,219851172
4597,200000000,59.995418,38,45,103.0,13,7.6,3,2010.0,2,2,1066969703
2463,200000000,71.862892,55,15,115.0,13,5.9,3,2009.0,4,2,371353001
